,index,level_0,num_victims_killed,Legend
0,0.0,1/2017,13.0,Actual Data
1,1.0,2/2017,8.0,Actual Data
2,2.0,3/2017,12.0,Actual Data
3,3.0,4/2017,4.0,Actual Data
4,4.0,5/2017,8.0,Actual Data
5,5.0,6/2017,10.0,Actual Data
6,6.0,7/2017,0.0,Actual Data
7,7.0,8/2017,8.0,Actual Data
8,8.0,9/2017,12.0,Actual Data
9,9.0,10/2017,68.0,Actual Data
10,10.0,11/2017,30.0,Actual Data
11,11.0,12/2017,4.0,Actual Data
12,12.0,1/2018,8.0,Actual Data
13,13.0,2/2018,25.0,Actual Data
14,14.0,3/2018,0.0,Actual Data
15,15.0,4/2018,4.0,Actual Data
16,16.0,5/2018,20.0,Actual Data
17,17.0,6/2018,10.0,Actual Data
18,18.0,7/2018,8.0,Actual Data
19,19.0,8/2018,0.0,Actual Data
20,20.0,9/2018,5.0,Actual Data
21,21.0,10/2018,19.0,Actual Data
22,22.0,11/2018,20.0,Actual Data
23,23.0,12/2018,4.0,Actual Data
24,24.0,1/2019,14.0,Actual Data
25,25.0,2/2019,17.0,Actual Data
26,26.0,3/2019,0.0,Actual Data
27,27.0,4/2019,12.0,Actual Data
28,28.0,5/2019,16.0,Actual Data
29,29.0,6/2019,13.0,Actual Data
30,30.0,7/2019,17.0,Actual Data
31,31.0,8/2019,39.0,Actual Data
32,32.0,9/2019,17.0,Actual Data
33,33.0,10/2019,22.0,Actual Data
34,34.0,11/2019,9.0,Actual Data
35,35.0,12/2019,4.0,Actual Data
36,36.0,1/2020,8.0,Actual Data
37,37.0,2/2020,9.0,Actual Data
38,38.0,3/2020,10.0,Actual Data
39,39.0,4/2020,5.0,Actual Data
40,40.0,5/2020,0.0,Actual Data
41,41.0,6/2020,16.0,Actual Data
42,42.0,7/2020,16.0,Actual Data
43,43.0,8/2020,4.0,Actual Data
44,44.0,9/2020,7.0,Actual Data
45,45.0,10/2020,0.0,Actual Data
46,46.0,11/2020,4.0,Actual Data
47,47.0,12/2020,17.0,Actual Data
48,48.0,1/2021,10.0,Actual Data
49,49.0,2/2021,6.0,Actual Data
50,50.0,3/2021,30.0,Actual Data
51,51.0,4/2021,22.0,Actual Data
52,52.0,5/2021,19.0,Actual Data
53,53.0,6/2021,13.0,Actual Data
54,54.0,7/2021,8.0,Actual Data
55,55.0,8/2021,0.0,Actual Data
56,56.0,9/2021,16.0,Actual Data
57,57.0,10/2021,8.0,Actual Data
58,58.0,11/2021,13.0,Actual Data
59,59.0,12/2021,9.0,Actual Data
60,60.0,1/2022,10.0,Actual Data
61,61.0,2/2022,9.0,Actual Data
62,62.0,3/2022,0.0,Actual Data
63,63.0,4/2022,18.0,Actual Data
64,64.0,5/2022,35.0,Actual Data
65,65.0,6/2022,13.0,Actual Data
66,66.0,7/2022,11.0,Actual Data
67,67.0,8/2022,12.0,Actual Data
68,68.0,9/2022,9.0,Actual Data
69,69.0,10/2022,42.0,Actual Data
70,70.0,11/2022,27.0,Actual Data
71,71.0,12/2022,0.0,Actual Data
72,0.0,1/2023,43.0,Actual Data
73,1.0,2/2023,10.0,Actual Data
74,2.0,3/2023,30.0,Actual Data
75,3.0,4/2023,28.0,Actual Data
76,4.0,5/2023,20.0,Actual Data
77,5.0,6/2023,9.0,Actual Data
78,6.0,7/2023,19.0,Actual Data
79,7.0,8/2023,8.0,Actual Data
80,8.0,9/2023,5.0,Actual Data
81,9.0,10/2023,23.0,Actual Data
82,10.0,11/2023,4.0,Actual Data
83,11.0,12/2023,18.0,Actual Data
0,,1/2023,15.882126089872559,Forecasted Data
1,,2/2023,16.10106988965757,Forecasted Data
2,,3/2023,16.325380085027,Forecasted Data
3,,4/2023,16.55505667598084,Forecasted Data
4,,5/2023,16.7900996625191,Forecasted Data
5,,6/2023,17.030509044641775,Forecasted Data
6,,7/2023,17.276284822348867,Forecasted Data
7,,8/2023,17.527426995640376,Forecasted Data
8,,9/2023,17.783935564516298,Forecasted Data
9,,10/2023,18.045810528976638,Forecasted Data
10,,11/2023,18.313051889021395,Forecasted Data
11,,12/2023,18.585659644650566,Forecasted Data
